Drug Name,BW,C,W,P,AR,PPI-MG,Month
2% Chlorhexidine Gluconate (CHG) Cloth,,,,,,,05/01/12
"5% Dextrose and 0.9% Sodium Chloride Injection, USP in Plastic Container
2.5% Dextrose and 0.45% Sodium Chloride Injection, USP in Plastic Container
5% Dextrose and 0.2% Sodium Chloride Injection, USP in Plastic Container
10% Dextrose and 0.9% Sodium Chloride Injection, USP in Plastic Container
5% Dextrose and 0.45% Sodium Chloride Injection, USP in Plastic Container
5% Dextrose and 0.33% Sodium Chloride Injection, USP in Plastic Container",,,,,,,9/1/2013
"Abilify (aripiprazole) Tablets 
Abilify DISCMELT (aripiprazole) Orally Disintegrating Tablets
Abilify (aripiprazole) Oral Solution 
Abilify (aripiprazole) Injection FOR INTRAMUSCULAR USE ONLY",,,X,X,,,12/1/2014
"Abilify (aripiprazole) Tablets, Oral Solution, Orally Disintegrating Tablets, and Injectable Formulation",,,,,,,7/1/2013
"Abilify MAINTENA (aripiprazole) for extended-release injectable suspension, for intramuscular use",,,X,X,,,12/1/2014
Abraxane for Injectable Suspension (paclitaxel protein-bound particles for injectable suspension),,,X,X,,,12/1/2014
"Abraxane for Injectable Suspension (paclitaxel protein-bound particles for injectable suspension) (albumin-bound), 100 milligram vial",,,,,,,9/1/2012
Abraxane Injectable Suspension (paclitaxel protein-bound particles (albumin-bound)) for injectable suspension,,,,,,,6/1/2013
Acanya (clindamycin phosphate and benzoyl peroxide) gel,,,,,,,6/1/2010
Accolate (zafirlukast) tablets,,,,,,,8/1/2011
Accolate (zafirlukast) tablets,,,,,,,7/1/2010
Accolate (zafirlukast) tablets,,,,,,,8/1/2009
AccuNeb (albuterol sulfate) inhalation solution,,,,,,,3/1/2011
"Accupril (quinapril hydrochloride) 5 mg, 10 mg, 1 20 mg, and 40 mg Tablets",,,,,,,9/1/2013
Accupril (quinapril hydrochloride) Tablets,,,,,,,10/1/2013
Accupril (quinapril hydrochloride) Tablets,,,,,,,10/1/2011
Accupril (quinapril hydrochloride) tablets,,,,,,,9/1/2009
Accupril (quinapril) tablets,,,,,,,5/1/2014
Accuretic (quinapril HCl/hydrochlorothiazide),,,,,,,10/1/2011
Accuretic (quinapril HCl/hydrochlorothiazide) tablets,,,,,,,5/1/2014
Accuretic (quinapril HCL/hydrochlorothiazide) tablets,,,,,,,3/1/2011
Accuretic (quinapril hydrochloride/ hydrochlorothiazide) tablets,,,,,,,9/1/2009
"Accuretic (quinapril hydrochloride/HCTZ) 10/12.5 mg, 1 20/12.5 mg, and 1 20/25 mg Tablets",,,,,,,9/1/2013
Accuretic (quinapril hydrochloride/HCTZ) Tablets,,,,,,,10/1/2013
"Accuretic (quinapril/hydrochlorothiazide) 10/12.5 mg, 1 20/12.5 mg, and 1 20/25 mg Tablets",,,,,,,1/1/2014
Accutane (isotretinoin) capsules,,,,,,,2/1/2010
Aceon (perindopril erbumine) Tablets,,,,X,,,3/1/2015
Aceon (perindopril erbumine) Tablets,,,,,,,8/1/2011
Acephen (acetaminophen) rectal suppositories,,,,,,,4/1/2010
Aciphex (rabeprazole sodium) Delayed-Release Tablets,,,,X,,,10/1/2014
Aciphex (rabeprazole sodium) Delayed-Release Tablets,,X,X,X,,,12/1/2014
Aciphex (rabeprazole sodium) Delayed-Release Tablets,,,,,,,5/1/2012
Aclovate (alclometasone dipropionate) Cream,,,,,,,4/1/2011
Actemra (tocilizumab),,,,,X,,11/1/2014
Actemra (tocilizumab) injection,,,,,,,10/1/2013
Actiq (fentanyl citrate) oral transmucosal,,,,,,,11/1/2009
Actiq (fentanyl citrate) oral transmucosal lozenge,,,,,,,7/1/2011
Actonel (risedronate sodium) tablets,,,,,,,7/1/2009
Actonel (risedronate sodium) tablets,,,,,,,12/1/2009
"Actonel (risedronate sodium) Tablets

*risk of osteonecrosis of the jaw (ONJ) with the concomitant use of bisphosphonates and angiogenesis inhibitors",,,X,X,,,4/1/2015
"Actonel with Calcium (risedronate sodium tablets with calcium carbonate tablets, USP)

*risk of osteonecrosis of the jaw (ONJ) with the concomitant use of bisphosphonates and angiogenesis inhibitors",,,X,X,,,4/1/2015
Actoplus MET (pioglitazone and metformin hydrochloride) tablets for oral use,,,,,,,8/1/2014
Actoplus Met (pioglitazone HCl + metformin HCl) fixed-dose combination tablets,,,,,,,11/1/2009
Actoplus Met (pioglitazone hydrochloride and metformin hydrochloride) and Actoplus Met XR (extended release) tablets,,,,,,,9/1/2009
"Actoplus Met (pioglitazone hydrochloride and metformin hydrochloride) fixed-dose combination Tablets 
Actoplus Met XR (pioglitazone hydrochloride and metformin hydrochloride extended-release) fixed-dose combination Tablets",,,,,,,8/1/2011
Actoplus Met (pioglitazone hydrochloride plus metformin hydrochloride) Tablets,,,,,,,5/1/2012
Actoplus Met XR (Pioglitazone Hydrochloride and Metformin Hydrochloride),,,,,,,11/1/2013
Actos (pioglitazone hydrochloride) tablet,,,,,,,9/1/2009
Actos (pioglitazone hydrochloride) Tablets,,,,,,,8/1/2011
Actos (Pioglitazone) Tablets,,,,,,,11/1/2013
Acuvail (ketorolac tromethamine ophthalmic solution),,,,,X,,12/1/2014
Acuvail (ketorolac tromethamine ophthalmic solution) 0.45%,,,,,,,11/1/2012
Adagen (pegademase bovine) Injection,,,,,,,6/1/2014
Adalat (nifedipine) extended release tablets,,,,,,,3/1/2010
Adalat CC (nifedipine)  Extended Release Tablets,,,,,,,2/1/2011
Adcetris (brentuximab vedotin) for Injection,,,X,X,,,11/1/2014
Adcirca (tadalafil) 1 20 mg Tablets,,,,,,,4/1/2014
Adcirca (tadalafil) Tablets,,X,,,,,4/1/2015
"Adderall (mixed salts of a single-entity amphetamine product) Tablets

*rhabdomyolysis",,,,,X,,4/1/2015
Adderall XR (dextroamphetamine mixed salts of a single entity amphetamine product) Capsules,,,,,,,7/1/2014
"Adderall XR (dextroamphetamine mixed salts of a single entity amphetamine product) Capsules

*rhabdomyolysis",,,,,X,,4/1/2015
ADDERALL XR (dextroamphetamine mixed salts of a single-entity amphetamine product) Capsules,,,,,,,3/1/2013
Adderall XR (dextroamphetamine mixed salts of a single-entity amphetamine product) Capsules,,,,,,,2/1/2012
Adderall XR (dextroamphetamine mixed salts of a single-entity amphetamine product) Capsules,,,,,,,11/1/2010
Adempas (riociguat) tablets,,,,,,,5/1/2014
Adenocard (adenosine) 3 mg/mL injection,,,,,,,11/1/2009
Adenoscan (adenosine) 3 mg/mL injection,,,,,,,11/1/2009
Adenoscan (adenosine) Injection,,,,,,,2/1/2011
"Adenoscan (adenosine) injection, for intravenous use",,,,,,,8/1/2014
Advair Diskus (fluticasone propionate and salmeterol xinafoate inhalation powder),,,,,,,1/1/2011
"Advair Diskus (fluticasone propionate and salmeterol xinafoate inhalation powder), Advair HFA Inhalation Aerosol",,,,,X,,11/1/2014
Advair HFA (fluticasone propionate and salmeterol xinafoate) Inhalation Aerosol,,,,,,,1/1/2011
Advicor (niacin extended release/lovastatin) Tablets,,,,,,,1/1/2011
Advil (ibuprofen) Infants oral suspension,,,,,,,4/1/2011
Advil (ibuprofen) tablets,,,,,,,4/1/2011
Advil Cold & Sinus Liqui-Gels (ibuprofen 1 200 mg and pseudoephedrine HCl 30 mg) capsules (OTC),,,,,,,3/1/2011
Advil Liqui-Gels (ibuprofen) capsules,,,,,,,4/1/2011
Advil PM (ibuprofen 1 200 mg/diphenhydramine citrate 38 mg) tablets,,,,,,,4/1/2011
Advil PM Liqui-Gels (ibuprofen 1 200 mg/diphenhydramine hydrochloride 25 mg) capsules,,,,,,,4/1/2011
Afinitor (everolimus) Tablets,,,,,,,5/1/2011
Afinitor (everolimus) Tablets and Afinitor Disperz Tablets,,,X,X,,,1/1/2015
Afinitor (everolimus) tablets for oral administration,,,,,,,7/1/2014
"Afinitor (everolimus) Tablets for Oral Administration
Afinitor Disperz (everolimus tablets for oral suspension)",,,,,,,2/1/2014
Afinitor Disperz (everolimus tablets for oral suspension),,,,,,,7/1/2014
